"lon","lat","depth","anom_01","anom_02","anom_03","anom_04","anom_05","anom_06","anom_07","anom_08","anom_09","anom_10","anom_11","anom_12"
-145,50,0,1.00674979686737,0.961599993705751,0.519900155067448,0.184700131416324,-0.109399914741518,0.00415024757385751,1.01895012855531,0.568399381637549,0.345449542999246,0.408000087738051,1.00334973335267,0.225800013542176
-145,50,1,1.00674979686737,0.961599993705751,0.519900155067448,0.184700131416324,-0.109399914741518,0.00415024757385751,1.01895012855531,0.568399381637549,0.345449542999246,0.408000087738051,1.00334973335267,0.225800013542176
-145,50,2,1.00674979686737,0.961599993705751,0.519900155067448,0.184700131416324,-0.109399914741518,0.00415024757385751,1.01895012855531,0.568399381637549,0.345449542999246,0.408000087738051,1.00334973335267,0.225800013542176
-145,50,3,1.0067831325531,0.961423322359722,0.518313485781355,0.185853476524356,-0.107716579437258,8.69115193729893e-05,1.00577011108399,0.570682706832861,0.34671625137327,0.408170077006035,1.00335642814637,0.225976673762004
-145,50,4,1.00684980392456,0.961069979667664,0.51514014720917,0.18816016674042,-0.104349908828737,-0.00803976058959605,0.97941007614136,0.575249357223484,0.349249668121318,0.408510055542003,1.00336981773377,0.226329994201661
-145,50,5,1.00691647529602,0.960716636975606,0.511966808636985,0.190466856956483,-0.100983238220217,-0.0161664326985651,0.953050041198726,0.579816007614107,0.351783084869365,0.408850034077971,1.00338320732117,0.226683314641318
-145,50,6,1.00698314666748,0.960363294283548,0.5087934700648,0.192773547172547,-0.0976165676116961,-0.0242931048075341,0.926690006256093,0.584382658004731,0.354316501617413,0.409190012613939,1.00339659690857,0.227036635080975
-145,50,7,1.00704981803894,0.960009951591491,0.505620131492615,0.195080237388611,-0.0942498970031755,-0.0324197769165032,0.900329971313459,0.588949308395354,0.356849918365461,0.409529991149906,1.00340998649597,0.227389955520632
-145,50,8,1.0071164894104,0.959656608899433,0.502446792920429,0.197386927604675,-0.090883226394655,-0.0405464490254722,0.873969936370826,0.593515958785977,0.359383335113509,0.409869969685874,1.00342337608337,0.227743275960289
-145,50,9,1.00718316078186,0.959303266207375,0.499273454348244,0.199693617820738,-0.0875165557861344,-0.0486731211344413,0.847609901428192,0.598082609176601,0.361916751861556,0.410209948221842,1.00343676567077,0.228096596399946
-145,50,10,1.00724983215332,0.958949923515317,0.496100115776059,0.202000308036802,-0.0841498851776139,-0.0567997932434103,0.821249866485559,0.602649259567224,0.364450168609604,0.41054992675781,1.00345015525817,0.228449916839603
-145,50,11,1.00742984771729,0.958594913482664,0.495730099678037,0.204915311336516,-0.0818798708915728,-0.0634347558021563,0.741364870071373,0.568944277763336,0.359000163078295,0.409719882011415,1.00327514648437,0.228474934101108
-145,50,12,1.00760986328125,0.95823990345001,0.495360083580015,0.207830314636229,-0.0796098566055317,-0.0700697183609022,0.661479873657188,0.535239295959448,0.353550157546985,0.40888983726502,1.00310013771056,0.228499951362613
-145,50,13,1.00778987884522,0.957884893417356,0.494990067481993,0.210745317935943,-0.0773398423194906,-0.0767046809196482,0.581594877243002,0.501534314155561,0.348100152015676,0.408059792518625,1.00292512893676,0.228524968624118
-145,50,14,1.00796989440918,0.957529883384703,0.494620051383971,0.213660321235656,-0.0750698280334495,-0.0833396434783942,0.501709880828816,0.467829332351673,0.342650146484367,0.40722974777223,1.00275012016296,0.228549985885623
-145,50,15,1.00814990997315,0.95717487335205,0.494250035285948,0.21657532453537,-0.0727998137474084,-0.0899746060371401,0.421824884414631,0.434124350547785,0.337200140953058,0.406399703025836,1.00257511138916,0.228575003147128
-145,50,16,1.00832992553711,0.956819863319396,0.493880019187926,0.219490327835084,-0.0705297994613673,-0.0966095685958861,0.341939888000445,0.400419368743897,0.331750135421748,0.405569658279441,1.00240010261535,0.228600020408632
-145,50,17,1.00850994110107,0.956464853286743,0.493510003089904,0.222405331134797,-0.0682597851753262,-0.103244531154632,0.262054891586259,0.366714386940009,0.326300129890439,0.404739613533046,1.00222509384155,0.228625037670137
-145,50,18,1.00868995666504,0.956109843254089,0.493139986991882,0.225320334434511,-0.0659897708892851,-0.109879493713378,0.182169895172073,0.333009405136122,0.32085012435913,0.403909568786651,1.00205008506775,0.228650054931642
-145,50,19,1.008869972229,0.955754833221436,0.49276997089386,0.228235337734224,-0.063719756603244,-0.116514456272124,0.102284898757888,0.299304423332234,0.31540011882782,0.403079524040256,1.00187507629394,0.228675072193147
-145,50,20,1.00904998779297,0.955399823188782,0.492399954795838,0.231150341033938,-0.0614497423172029,-0.12314941883087,0.022399902343702,0.265599441528346,0.309950113296511,0.402249479293861,1.00170006752014,0.228700089454652
-145,50,21,1.00925498485565,0.955219838619233,0.492114953994751,0.230895273685457,-0.060269789695743,-0.101714475154875,0.0144998812675048,0.197704539299035,0.267115163803104,0.398164505958592,1.00084509372711,0.228415081501008
-145,50,22,1.00945998191834,0.955039854049684,0.491829953193665,0.230640206336977,-0.0590898370742831,-0.0802795314788794,0.0065998601913076,0.129809637069724,0.224280214309698,0.394079532623323,0.999990119934088,0.228130073547364
-145,50,23,1.00966497898102,0.954859869480134,0.491544952392578,0.230385138988496,-0.0579098844528232,-0.0588445878028842,-0.0013001608848896,0.0619147348404133,0.181445264816291,0.389994559288053,0.999135146141062,0.22784506559372
-145,50,24,1.0098699760437,0.954679884910585,0.491259951591491,0.230130071640015,-0.0567299318313633,-0.0374096441268889,-0.0092001819610868,-0.00598016738889762,0.138610315322885,0.385909585952784,0.998280172348036,0.227560057640076
