ASVID,D273,D274,D275,D276,D277,D278,D279,D291,D292,D293,D294,D295,D296,D307,D308,D309,D311,D312,D313,D348,D349,D350,D351,D352,D353,D354,D362,D363,D364,D365,D366,D370,D371,D372,D373,D375,D377,D378,D379,D380,D381,D382,D383,D385,D386,D387,D388,D390,D391,D392,D393,D394,D395,D396,D404,D405,D406,D407,D408,D409,D410,D411,D412,D413,D414,D415,D416,D417,D439,D440,D441,D442,D443,D444,D445,D453,D454,D455,D456,D457,D458,D459,D467,D468,D469,D470,D471,D472,D473,D474,D475,D476,D477,D478,D479,D480,D502,D503,D504,D505,D506,D507,D508,D509,D510,D511,D512,D513,D514,D515,D516,D517,D518,D519,D520,D521,D522,D531,D532,D534,D535,D537,D538,D540,D541,D542,D543
f96a7840af1bd8b76e3ca6853909170d,0,0,0,0,0,0,0,0,0,0,0,46,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,0,30,0,0,0,0,3,61,0,29,0,0,0,0,2252,926,93,0,0,0,0,2516,186,0,0,0,0,0,751,10,0,0,0,0,140,0,0,0,0,0,0,0,101,0,0,0,0,63,0,0,0,0,107,0,11
a81af5368c1e0fe3a311386fda8ce20d,0,0,0,124,0,287,55,0,370,0,63,0,0,0,0,0,0,53,0,0,0,0,0,160,32,319,0,0,0,0,374,0,0,0,0,0,0,0,0,334,258,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,78,31,0,0,0,0,0,0,0,0,0,0,0,0,0,360,336,0,0,0,0,0,173,102,296,490,633,246,0,408,111,0,0,1639,0,0,0,0,0,0,0,0,0,130,0,0,0,248,359,0,0,0,0,90,0
7b4d5aa377e69cb128aa3616d3a5be59,221,161,276,0,0,0,0,45,1433,45,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,488,218,0,0,0,0,0,0,124,64,78,0,0,0,222,2431,100,0,0,0,0,97,0,0,0,0,190,168,249,31,0,0,0,0,0,48,0,0,0,0,63,34,43,0,0,0,0,0,0,94,0,0,0,0,78,106,92,75,0,0,0,0,0,139,99,0,0,0,16,22,40,0,0,0,0,117,96,323,0,0,0,0,0,0,112,23,0,0,0,0,241,0,0,0,0,0,0,0,0
f02f0b919dedbadbe55665c3908224d1,99,125,119,0,0,0,0,676,1652,34,0,0,0,93,114,0,0,0,0,136,0,172,0,0,0,0,161,239,178,0,0,0,0,0,0,0,0,38,0,0,0,0,227,330,74,0,0,247,133,90,0,0,0,0,0,156,177,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,273,273,24,0,0,0,0,454,570,435,124,0,0,0,122,269,229,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0
a1fe4d26985b4fd62b7bef1949d111f4,58,51,86,0,0,0,0,52,263,165,249,0,0,0,26,0,0,0,0,92,81,26,44,110,34,0,77,59,64,290,405,0,55,46,133,0,26,0,23,0,0,0,0,130,139,188,0,284,141,84,70,98,0,0,48,0,46,125,77,19,0,41,36,0,0,20,0,0,162,95,104,98,24,0,0,0,0,0,0,0,0,0,134,123,41,80,162,130,23,38,93,0,43,53,63,0,211,228,258,135,0,0,0,253,147,134,67,54,98,0,345,270,64,111,0,0,0,141,59,181,101,79,45,0,0,0,0
c7f15a81e63b3ab5c0db8dc4ac09ff42,179,78,200,0,0,0,0,0,95,38,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,77,0,0,0,0,0,19,540,536,574,0,0,0,291,1198,103,0,0,0,0,59,0,0,0,0,99,92,0,0,0,0,0,0,0,36,0,0,0,0,126,120,153,0,0,0,0,0,0,0,0,0,0,0,0,131,87,85,0,0,0,0,0,0,81,0,0,0,0,0,93,0,0,0,0,141,225,302,0,0,0,0,86,93,216,0,0,0,0,464,135,0,0,1145,418,0,0,28,0
fb26a0773e1dc99eb520186b6ee00c91,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,61,0,0,251,0,0,113,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,334,303,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,331,415,0,0,0,99,87,0,0,0,0,0,0,0,181,356,195,0,0,0,0,0,155,0,0,0,0,0,185,0,0,0,0,0,0,0,266,444,0,0,0,0,263,0,0,0,0,0,1271,1748,265,0,0,0,0,0,0,76,0,47,0,223,0,0,0,0,0,0,0
1f61b384ea0261ceb88a31ab35a8c847,114,121,0,0,0,0,0,115,0,0,0,0,0,0,157,151,0,0,0,0,0,0,79,0,0,0,270,169,231,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,329,0,0,0,0,0,944,756,0,0,0,0,0,367,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,218,0,0,0,0,0,557,359,118,0,0,0,0,0,0,0,0,0,0,0,1381,676,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6033f3ac55e8c6ab1e8b70e6b2bf1eb8,0,0,0,0,0,305,931,0,0,0,267,548,261,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,484,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,2517,0,0,0,0,118,0,127,0,0,0,0,0,141,553,0,0,0,0,0,0,250,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
8d0ce8d01fce80d60bf71c8321d1bc2d,0,0,0,0,0,0,0,0,52,0,0,0,0,0,74,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,78,0,0,0,0,0,0,90,0,0,0,14,84,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,1013,1238,0,0,0,0,138,67,114,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,719,597,1131,0,0,0,0,371,235,0,0,0,0,0,34,57,609,0,0,0,0,29,0,0,0,0,0,0,0,0,0
