"lon","lat","depth","tem01","tem02","tem03","tem04","tem05","tem06","tem07","tem08","tem09","tem10","tem11","tem12","sal01","sal02","sal03","sal04","sal05","sal06","sal07","sal08","sal09","sal10","sal11","sal12","oxy01","oxy02","oxy03","oxy04","oxy05","oxy06","oxy07","oxy08","oxy09","oxy10","oxy11","oxy12"
-145,50,336,3.88680019378662,3.9310001373291,3.91020007133484,3.91540007591248,3.97940015792846,3.90380010604858,3.90440015792846,3.98080019950867,4.01200017929077,3.88920011520385,3.90360021591187,3.69100003242493,33.9580001831055,33.9558013916016,33.9556015014648,33.9586006164551,33.9556015014648,33.9471992492675,33.935001373291,33.9376007080078,33.9296005249023,33.900601196289,33.9031997680664,33.9094001770019,48.1642425537109,50.2745262145996,49.4981040954589,49.5227577209472,53.6289360046387,50.9805480957031,53.2884544372558,56.5220726013183,59.3265281677246,59.9023162841797,59.6564407348633,51.1237731933594
-145,50,337,3.88635020256043,3.93050013780594,3.9101500749588,3.91405007839203,3.97905015945434,3.90285010337829,3.90380016565323,3.97985020875931,4.01150019168854,3.88940011262893,3.9037002325058,3.69075003862381,33.9595003128052,33.9571016311645,33.956951713562,33.9597007751465,33.956951713562,33.9483993530273,33.9362516403198,33.9389507293701,33.9309507369995,33.9019514083862,33.9046499252319,33.9108003616333,47.9211717605591,50.0538055419922,49.2921724319458,49.2908348083496,53.3926433563233,50.7352823257446,53.0236404418945,56.2163301467895,59.0388223648071,59.5715078353882,59.3057937622071,50.8598978042603
-145,50,338,3.88590021133423,3.93000013828278,3.91010007858276,3.91270008087158,3.97870016098022,3.90190010070801,3.90320017337799,3.97890021800995,4.01100020408631,3.88960011005401,3.90380024909973,3.69050004482269,33.9610004425049,33.9584018707275,33.9583019256592,33.9608009338379,33.9583019256592,33.9495994567871,33.9375019073486,33.9403007507324,33.9323009490967,33.9033016204834,33.9061000823975,33.9122005462646,47.6781009674072,49.8330848693847,49.0862407684326,49.0589118957519,53.1563507080078,50.4900165557861,52.7588264465332,55.9105876922607,58.7511165618897,59.2406993865967,58.9551467895508,50.5960224151611
-145,50,339,3.88545022010804,3.92950013875961,3.91005008220673,3.91135008335114,3.9783501625061,3.90095009803772,3.90260018110275,3.97795022726059,4.01050021648407,3.88980010747909,3.90390026569367,3.69025005102158,33.9625005722046,33.9597021102905,33.9596521377563,33.9619010925293,33.9596521377563,33.9507995605468,33.9387521743774,33.9416507720947,33.9336511611938,33.9046518325805,33.907550239563,33.913600730896,47.4350301742554,49.6123641967773,48.8803091049194,48.8269889831543,52.9200580596924,50.2447507858276,52.4940124511718,55.6048452377319,58.4634107589722,58.9098909378052,58.6044998168946,50.332147026062
-145,50,340,3.88500022888184,3.92900013923645,3.91000008583069,3.91000008583069,3.97800016403198,3.90000009536743,3.90200018882751,3.97700023651123,4.01000022888184,3.89000010490417,3.9040002822876,3.69000005722046,33.9640007019043,33.9610023498535,33.9610023498535,33.9630012512207,33.9610023498535,33.9519996643066,33.9400024414062,33.943000793457,33.935001373291,33.9060020446777,33.9090003967285,33.9150009155273,47.1919593811035,49.3916435241699,48.6743774414062,48.5950660705566,52.683765411377,49.9994850158691,52.2291984558105,55.2991027832031,58.1757049560547,58.5790824890137,58.2538528442383,50.0682716369629
-145,50,341,3.88435022830963,3.9281001329422,3.90955008268356,3.90935008525849,3.97700016498565,3.89910010099411,3.90130017995834,3.97555023431778,4.00935022830964,3.88770010471344,3.90250027179718,3.68980005979538,33.9652505874634,33.9622522354126,33.9622022628784,33.9644012451172,33.9622022628784,33.9531496047973,33.9412023544311,33.9442506790161,33.9363512039184,33.9070518493652,33.9102003097534,33.9162508010864,46.975147819519,49.1786949157715,48.4874488830566,48.3627759933471,52.4293531417847,49.8075435638427,52.0211763381958,55.0322830200195,57.9096534729004,58.3018552780152,57.96201877594,49.8484395980835
-145,50,342,3.88370022773743,3.92720012664795,3.90910007953644,3.90870008468628,3.97600016593933,3.89820010662079,3.90060017108917,3.97410023212433,4.00870022773743,3.8854001045227,3.90100026130676,3.6896000623703,33.9665004730225,33.9635021209717,33.9634021759033,33.9658012390137,33.9634021759033,33.9542995452881,33.942402267456,33.9455005645752,33.9377010345459,33.9081016540527,33.9114002227783,33.9175006866455,46.7583362579346,48.965746307373,48.300520324707,48.1304859161377,52.1749408721924,49.6156021118164,51.813154220581,54.7654632568359,57.6436019897461,58.0246280670166,57.6701847076416,49.6286075592041
-145,50,343,3.88305022716523,3.9263001203537,3.90865007638931,3.90805008411408,3.975000166893,3.89730011224747,3.89990016222,3.97265022993088,4.00805022716523,3.88310010433197,3.89950025081635,3.68940006494522,33.9677503585815,33.9647520065308,33.9646020889282,33.9672012329102,33.9646020889282,33.9554494857788,33.9436021804809,33.9467504501343,33.9390508651733,33.9091514587402,33.9126001358032,33.9187505722046,46.5415246963501,48.7527976989746,48.1135917663574,47.8981958389282,51.9205286026001,49.42366065979,51.6051321029663,54.4986434936523,57.3775505065918,57.7474008560181,57.3783506393433,49.4087755203247
-145,50,344,3.88240022659302,3.92540011405945,3.90820007324219,3.90740008354187,3.97400016784668,3.89640011787414,3.89920015335083,3.97120022773743,4.00740022659302,3.88080010414123,3.89800024032593,3.68920006752014,33.9690002441406,33.9660018920898,33.9658020019531,33.9686012268066,33.9658020019531,33.9565994262695,33.9448020935058,33.9480003356933,33.9404006958008,33.9102012634277,33.9138000488281,33.9200004577636,46.3247131347656,48.5398490905762,47.9266632080078,47.6659057617187,51.6661163330078,49.2317192077636,51.3971099853515,54.2318237304687,57.1114990234375,57.4701736450196,57.0865165710449,49.1889434814453
-145,50,345,3.88175022602081,3.9245001077652,3.90775007009506,3.90675008296967,3.97300016880035,3.89550012350082,3.89850014448166,3.96975022554397,4.00675022602082,3.8785001039505,3.89650022983551,3.68900007009506,33.9702501296997,33.9672517776489,33.967001914978,33.9700012207031,33.967001914978,33.9577493667602,33.9460020065307,33.9492502212524,33.9417505264282,33.9112510681152,33.914999961853,33.9212503433227,46.1079015731812,48.3269004821777,47.7397346496582,47.4336156845092,51.4117040634156,49.0397777557373,51.1890878677368,53.9650039672851,56.8454475402832,57.192946434021,56.7946825027466,48.9691114425659
