source_file,date,depth_dbar,temperature_C,month
5903274_Sprof.nc,2010-09-30 07:18:30.997583872,500,3.7464050378512184,2010-09
5903274_Sprof.nc,2010-10-05 12:14:34.999238400,50,9.309132966056605,2010-10
5903274_Sprof.nc,2010-10-05 12:14:34.999238400,300,4.0005799264145026,2010-10
5903274_Sprof.nc,2010-10-05 12:14:34.999238400,500,3.772879948730406,2010-10
5903274_Sprof.nc,2010-10-10 16:35:23.003194624,50,10.465105045033095,2010-10
5903274_Sprof.nc,2010-10-10 16:35:23.003194624,300,4.013999938964844,2010-10
5903274_Sprof.nc,2010-10-10 16:35:23.003194624,500,3.7084199915698264,2010-10
5903274_Sprof.nc,2010-10-15 23:17:21.996577024,50,10.537851869218981,2010-10
5903274_Sprof.nc,2010-10-15 23:17:21.996577024,300,4.022989772301116,2010-10
5903274_Sprof.nc,2010-10-15 23:17:21.996577024,500,3.7649501325288517,2010-10
5903274_Sprof.nc,2010-10-21 03:12:04.000740352,50,10.24180012165386,2010-10
5903274_Sprof.nc,2010-10-21 03:12:04.000740352,300,3.999000072479248,2010-10
5903274_Sprof.nc,2010-10-21 03:12:04.000740352,500,3.7948399011220317,2010-10
5903274_Sprof.nc,2010-10-26 06:57:26.999927808,50,10.020000457763672,2010-10
5903274_Sprof.nc,2010-10-26 06:57:26.999927808,300,4.019330031318532,2010-10
5903274_Sprof.nc,2010-10-26 06:57:26.999927808,500,3.773220013408718,2010-10
5903274_Sprof.nc,2010-10-31 10:41:25.997484544,50,9.734830182953374,2010-10
5903274_Sprof.nc,2010-10-31 10:41:25.997484544,300,4.003690064011607,2010-10
5903274_Sprof.nc,2010-10-31 10:41:25.997484544,500,3.764480032463325,2010-10
5903274_Sprof.nc,2010-11-05 16:12:09.002949120,50,9.045000076293945,2010-11
5903274_Sprof.nc,2010-11-05 16:12:09.002949120,300,3.9964300130086485,2010-11
5903274_Sprof.nc,2010-11-05 16:12:09.002949120,500,3.7675050002289936,2010-11
5903274_Sprof.nc,2010-11-10 20:40:56.997871616,50,8.510279730529874,2010-11
5903274_Sprof.nc,2010-11-10 20:40:56.997871616,300,4.0041801665502135,2010-11
5903274_Sprof.nc,2010-11-10 20:40:56.997871616,500,3.7952598965057405,2010-11
5903274_Sprof.nc,2010-11-16 02:35:51.000737280,50,8.251974881052604,2010-11
5903274_Sprof.nc,2010-11-16 02:35:51.000737280,300,4.004950115206734,2010-11
5903274_Sprof.nc,2010-11-16 02:35:51.000737280,500,3.7928250275775097,2010-11
5903274_Sprof.nc,2010-11-21 07:10:02.999211008,50,7.926150118964052,2010-11
5903274_Sprof.nc,2010-11-21 07:10:02.999211008,300,3.969625035286299,2010-11
5903274_Sprof.nc,2010-11-21 07:10:02.999211008,500,3.753924968909511,2010-11
5903274_Sprof.nc,2010-11-26 11:39:52.001726464,50,7.755000114440918,2010-11
5903274_Sprof.nc,2010-11-26 11:39:52.001726464,300,3.997999906539917,2010-11
5903274_Sprof.nc,2010-11-26 11:39:52.001726464,500,3.7739999294281006,2010-11
5903274_Sprof.nc,2010-12-01 16:16:03.006592512,50,7.552919979171747,2010-12
5903274_Sprof.nc,2010-12-01 16:16:03.006592512,300,3.9813999649049947,2010-12
5903274_Sprof.nc,2010-12-01 16:16:03.006592512,500,3.748159917679004,2010-12
5903274_Sprof.nc,2010-12-06 21:12:43.999559936,50,7.344809803428689,2010-12
5903274_Sprof.nc,2010-12-06 21:12:43.999559936,300,4.0167598392872605,2010-12
5903274_Sprof.nc,2010-12-06 21:12:43.999559936,500,3.794759955635527,2010-12
5903274_Sprof.nc,2010-12-12 01:07:05.000099328,50,7.228000164031982,2010-12
5903274_Sprof.nc,2010-12-12 01:07:05.000099328,300,3.9974800124364265,2010-12
5903274_Sprof.nc,2010-12-12 01:07:05.000099328,500,3.8094800486760505,2010-12
5903274_Sprof.nc,2010-12-17 05:09:40.999518720,50,6.9710001945495605,2010-12
5903274_Sprof.nc,2010-12-17 05:09:40.999518720,300,4.002999782562256,2010-12
5903274_Sprof.nc,2010-12-17 05:09:40.999518720,500,3.7447349485300947,2010-12
5903274_Sprof.nc,2010-12-22 09:20:03.999422464,50,6.703999996185303,2010-12
5903274_Sprof.nc,2010-12-22 09:20:03.999422464,300,4.005780041428807,2010-12
5903274_Sprof.nc,2010-12-22 09:20:03.999422464,500,3.74030002231666,2010-12
5903274_Sprof.nc,2010-12-27 13:32:53.003765760,50,6.465595044403017,2010-12
5903274_Sprof.nc,2010-12-27 13:32:53.003765760,300,4.024270137291751,2010-12
5903274_Sprof.nc,2010-12-27 13:32:53.003765760,500,3.776809995593794,2010-12
5903274_Sprof.nc,2011-01-01 17:57:07.995303424,50,6.311959809920659,2011-01
5903274_Sprof.nc,2011-01-01 17:57:07.995303424,300,4.004000186920166,2011-01
5903274_Sprof.nc,2011-01-01 17:57:07.995303424,500,3.775680064511381,2011-01
5903274_Sprof.nc,2011-01-07 00:17:15.000054528,50,6.218999862670898,2011-01
5903274_Sprof.nc,2011-01-07 00:17:15.000054528,300,4.005000114440918,2011-01
5903274_Sprof.nc,2011-01-07 00:17:15.000054528,500,3.775100069666223,2011-01
5903274_Sprof.nc,2011-01-12 04:41:42.000622080,50,6.0929999351501465,2011-01
5903274_Sprof.nc,2011-01-12 04:41:42.000622080,300,3.9960100452808547,2011-01
5903274_Sprof.nc,2011-01-12 04:41:42.000622080,500,3.7760300066183845,2011-01
5903274_Sprof.nc,2011-01-17 08:56:53.001533952,50,6.03000020980835,2011-01
5903274_Sprof.nc,2011-01-17 08:56:53.001533952,300,4.0116199991854735,2011-01
5903274_Sprof.nc,2011-01-17 08:56:53.001533952,500,3.735980055722107,2011-01
5903274_Sprof.nc,2011-01-22 12:57:31.001353984,50,6.031000137329102,2011-01
5903274_Sprof.nc,2011-01-22 12:57:31.001353984,300,4.0304351910963305,2011-01
5903274_Sprof.nc,2011-01-22 12:57:31.001353984,500,3.791434905233473,2011-01
5903274_Sprof.nc,2011-01-27 17:01:38.998836480,50,5.988099909210177,2011-01
5903274_Sprof.nc,2011-01-27 17:01:38.998836480,300,4.030900247191312,2011-01
5903274_Sprof.nc,2011-01-27 17:01:38.998836480,500,3.775500113486487,2011-01
5903274_Sprof.nc,2011-02-01 21:25:28.998180352,50,5.964000225067139,2011-02
5903274_Sprof.nc,2011-02-01 21:25:28.998180352,300,4.1028001663216855,2011-02
5903274_Sprof.nc,2011-02-01 21:25:28.998180352,500,3.791599884414609,2011-02
5903274_Sprof.nc,2011-02-07 01:26:04.999862272,50,5.9770002365112305,2011-02
5903274_Sprof.nc,2011-02-07 01:26:04.999862272,300,4.115119745213059,2011-02
5903274_Sprof.nc,2011-02-07 01:26:04.999862272,500,3.796879941102816,2011-02
5903274_Sprof.nc,2011-02-12 05:10:27.999546368,50,6.014949870872442,2011-02
5903274_Sprof.nc,2011-02-12 05:10:27.999546368,300,4.038550124358153,2011-02
5903274_Sprof.nc,2011-02-12 05:10:27.999546368,500,3.7821500750542327,2011-02
5903274_Sprof.nc,2011-02-17 09:43:48.000072192,50,5.795000076293945,2011-02
5903274_Sprof.nc,2011-02-17 09:43:48.000072192,300,3.9800000190734863,2011-02
5903274_Sprof.nc,2011-02-17 09:43:48.000072192,500,3.7703500007628463,2011-02
5903274_Sprof.nc,2011-02-22 14:31:21.997490944,50,5.715000152587891,2011-02
5903274_Sprof.nc,2011-02-22 14:31:21.997490944,300,3.9789100945854443,2011-02
5903274_Sprof.nc,2011-02-22 14:31:21.997490944,500,3.711149962997297,2011-02
5903274_Sprof.nc,2011-02-27 18:34:45.000799744,50,5.581999778747559,2011-02
5903274_Sprof.nc,2011-02-27 18:34:45.000799744,300,3.9838700784493994,2011-02
5903274_Sprof.nc,2011-02-27 18:34:45.000799744,500,3.753170006828441,2011-02
5903274_Sprof.nc,2011-03-04 23:04:47.998007040,50,5.399850106620761,2011-03
5903274_Sprof.nc,2011-03-04 23:04:47.998007040,300,3.994299959849741,2011-03
5903274_Sprof.nc,2011-03-04 23:04:47.998007040,500,3.7707499675743748,2011-03
5903274_Sprof.nc,2011-03-10 03:11:24.999702784,50,5.388000011444092,2011-03
5903274_Sprof.nc,2011-03-10 03:11:24.999702784,300,3.995674908590445,2011-03
5903274_Sprof.nc,2011-03-10 03:11:24.999702784,500,3.744674981069693,2011-03
5903274_Sprof.nc,2011-03-15 08:06:50.999397120,50,5.401000022888184,2011-03
5903274_Sprof.nc,2011-03-15 08:06:50.999397120,300,4.0007899360280135,2011-03
5903274_Sprof.nc,2011-03-15 08:06:50.999397120,500,3.755000114440918,2011-03
5903274_Sprof.nc,2011-03-20 14:47:44.999200256,50,5.368035027828228,2011-03
5903274_Sprof.nc,2011-03-20 14:47:44.999200256,300,3.9751049163533025,2011-03
5903274_Sprof.nc,2011-03-20 14:47:44.999200256,500,3.8020350469014375,2011-03
5903274_Sprof.nc,2011-03-25 19:38:15.002750464,50,5.386785099353801,2011-03
5903274_Sprof.nc,2011-03-25 19:38:15.002750464,300,3.992215083751944,2011-03
5903274_Sprof.nc,2011-03-25 19:38:15.002750464,500,3.7722150551417144,2011-03
5903274_Sprof.nc,2011-03-31 01:02:12.000195072,50,5.455794866161341,2011-03
5903274_Sprof.nc,2011-03-31 01:02:12.000195072,300,3.984384934177797,2011-03
5903274_Sprof.nc,2011-03-31 01:02:12.000195072,500,3.7978199769786443,2011-03
5903274_Sprof.nc,2011-04-05 05:50:19.000055040,50,5.46999979019165,2011-04
5903274_Sprof.nc,2011-04-05 05:50:19.000055040,300,4.003339835318911,2011-04
5903274_Sprof.nc,2011-04-05 05:50:19.000055040,500,3.7601699763108627,2011-04
5903274_Sprof.nc,2011-04-10 09:56:56.000463360,50,5.472280014724674,2011-04
5903274_Sprof.nc,2011-04-10 09:56:56.000463360,300,3.9871799681859557,2011-04
5903274_Sprof.nc,2011-04-10 09:56:56.000463360,500,3.812000036239624,2011-04
5903274_Sprof.nc,2011-04-15 14:11:50.995671296,50,5.422999858856201,2011-04
5903274_Sprof.nc,2011-04-15 14:11:50.995671296,300,3.9961500345234526,2011-04
5903274_Sprof.nc,2011-04-15 14:11:50.995671296,500,3.7733000037187594,2011-04
5903274_Sprof.nc,2011-04-20 17:49:10.996394752,50,5.420405047626446,2011-04
5903274_Sprof.nc,2011-04-20 17:49:10.996394752,300,3.9674049939822,2011-04
5903274_Sprof.nc,2011-04-20 17:49:10.996394752,500,3.778135101070802,2011-04
5903274_Sprof.nc,2011-04-25 21:46:39.000549888,50,5.770770157318111,2011-04
5903274_Sprof.nc,2011-04-25 21:46:39.000549888,300,3.984169953422679,2011-04
5903274_Sprof.nc,2011-04-25 21:46:39.000549888,500,3.721509954204521,2011-04
5903274_Sprof.nc,2011-05-01 01:55:55.000372992,50,5.822109926833946,2011-05
5903274_Sprof.nc,2011-05-01 01:55:55.000372992,300,4.002104843159032,2011-05
5903274_Sprof.nc,2011-05-01 01:55:55.000372992,500,3.736840016041242,2011-05
5903274_Sprof.nc,2011-05-06 06:12:35.000214016,50,5.902220104484513,2011-05
5903274_Sprof.nc,2011-05-06 06:12:35.000214016,300,3.98518492335279,2011-05
5903274_Sprof.nc,2011-05-06 06:12:35.000214016,500,3.7801100369833875,2011-05
5903274_Sprof.nc,2011-05-11 10:02:53.999407616,50,5.985534799900051,2011-05
5903274_Sprof.nc,2011-05-11 10:02:53.999407616,300,3.985194934779429,2011-05
5903274_Sprof.nc,2011-05-11 10:02:53.999407616,500,3.768755038137897,2011-05
